household_id,cohort,is_fraud_ground_truth
HH0001,genuine,False
HH0002,genuine,False
HH0003,genuine,False
HH0004,genuine,False
HH0005,genuine,False
HH0006,genuine,False
HH0007,genuine,False
HH0008,no_change,False
HH0009,genuine,False
HH0010,genuine,False
HH0011,genuine,False
HH0012,no_change,False
HH0013,genuine,False
HH0014,genuine,False
HH0015,genuine,False
HH0016,fraud,True
HH0017,fraud,True
HH0018,genuine,False
HH0019,genuine,False
HH0020,genuine,False
HH0021,genuine,False
HH0022,no_change,False
HH0023,genuine,False
HH0024,genuine,False
HH0025,no_change,False
HH0026,genuine,False
HH0027,genuine,False
HH0028,fraud,True
HH0029,genuine,False
HH0030,no_change,False
HH0031,genuine,False
HH0032,genuine,False
HH0033,genuine,False
HH0034,genuine,False
HH0035,genuine,False
HH0036,genuine,False
HH0037,genuine,False
HH0038,genuine,False
HH0039,no_change,False
HH0040,genuine,False
HH0041,no_change,False
HH0042,genuine,False
HH0043,genuine,False
HH0044,genuine,False
HH0045,no_change,False
HH0046,genuine,False
HH0047,genuine,False
HH0048,genuine,False
HH0049,genuine,False
HH0050,genuine,False
HH0051,genuine,False
HH0052,genuine,False
HH0053,genuine,False
HH0054,genuine,False
HH0055,genuine,False
HH0056,genuine,False
HH0057,no_change,False
HH0058,genuine,False
HH0059,genuine,False
HH0060,genuine,False
HH0061,genuine,False
HH0062,genuine,False
HH0063,genuine,False
HH0064,genuine,False
HH0065,genuine,False
HH0066,genuine,False
HH0067,genuine,False
HH0068,genuine,False
HH0069,genuine,False
HH0070,genuine,False
HH0071,genuine,False
HH0072,genuine,False
HH0073,genuine,False
HH0074,genuine,False
HH0075,genuine,False
HH0076,fraud,True
HH0077,genuine,False
HH0078,genuine,False
HH0079,genuine,False
HH0080,genuine,False
HH0081,genuine,False
HH0082,genuine,False
HH0083,no_change,False
HH0084,no_change,False
HH0085,genuine,False
HH0086,genuine,False
HH0087,genuine,False
HH0088,genuine,False
HH0089,genuine,False
HH0090,genuine,False
HH0091,genuine,False
HH0092,no_change,False
HH0093,genuine,False
HH0094,genuine,False
HH0095,genuine,False
HH0096,fraud,True
HH0097,genuine,False
HH0098,genuine,False
HH0099,genuine,False
HH0100,no_change,False
HH0101,fraud,True
HH0102,genuine,False
HH0103,genuine,False
HH0104,genuine,False
HH0105,genuine,False
HH0106,genuine,False
HH0107,fraud,True
HH0108,genuine,False
HH0109,genuine,False
HH0110,genuine,False
HH0111,no_change,False
HH0112,genuine,False
HH0113,fraud,True
HH0114,genuine,False
HH0115,genuine,False
HH0116,genuine,False
HH0117,genuine,False
HH0118,genuine,False
HH0119,genuine,False
HH0120,genuine,False
HH0121,genuine,False
HH0122,genuine,False
HH0123,genuine,False
HH0124,no_change,False
HH0125,genuine,False
HH0126,genuine,False
HH0127,no_change,False
HH0128,genuine,False
HH0129,genuine,False
HH0130,no_change,False
HH0131,genuine,False
HH0132,genuine,False
HH0133,no_change,False
HH0134,genuine,False
HH0135,genuine,False
HH0136,no_change,False
HH0137,genuine,False
HH0138,genuine,False
HH0139,genuine,False
HH0140,genuine,False
HH0141,genuine,False
HH0142,genuine,False
HH0143,genuine,False
HH0144,genuine,False
HH0145,no_change,False
HH0146,genuine,False
HH0147,genuine,False
HH0148,no_change,False
HH0149,genuine,False
HH0150,genuine,False
HH0151,no_change,False
HH0152,genuine,False
HH0153,genuine,False
HH0154,genuine,False
HH0155,genuine,False
HH0156,genuine,False
HH0157,genuine,False
HH0158,genuine,False
HH0159,no_change,False
HH0160,genuine,False
HH0161,genuine,False
HH0162,no_change,False
HH0163,genuine,False
HH0164,no_change,False
HH0165,genuine,False
HH0166,genuine,False
HH0167,genuine,False
HH0168,genuine,False
HH0169,genuine,False
HH0170,genuine,False
HH0171,genuine,False
HH0172,no_change,False
HH0173,genuine,False
HH0174,genuine,False
HH0175,genuine,False
HH0176,genuine,False
HH0177,genuine,False
HH0178,genuine,False
HH0179,genuine,False
HH0180,genuine,False
HH0181,no_change,False
HH0182,genuine,False
HH0183,no_change,False
HH0184,genuine,False
HH0185,genuine,False
HH0186,genuine,False
HH0187,genuine,False
HH0188,no_change,False
HH0189,genuine,False
HH0190,genuine,False
HH0191,genuine,False
HH0192,genuine,False
HH0193,no_change,False
HH0194,genuine,False
HH0195,genuine,False
HH0196,fraud,True
HH0197,genuine,False
HH0198,genuine,False
HH0199,fraud,True
HH0200,genuine,False
